Red,Raptor,F,361.3,255.0,195.0,1320.0,145.6,433.1,120.0,450.5
Lela,Raptor,F,321.3,195.0,180.0,1320.0,148.4,384.5,120.0,342.5
Sandy,Raptor,F,281.3,150.0,165.0,1200.0,140.0,388.0,120.0,223.7
Jazmin,Raptor,F,281.3,165.0,150.0,1200.0,145.6,287.4,120.0,245.3
Fury,Yutyrannus,F,1541.3,420.0,165.0,3900.0,520.0,412.9,100.0,2666.5
Fray,Yutyrannus,M,1101.3,420.0,150.0,3300.0,500.0,385.5,100.0,1643.5
Payla,Allosaurus,F,883.3,275.0,165.0,3952.9,380.0,348.6,90.0,1600.5
Stary,Allosaurus,F,757.3,250.0,165.0,3444.4,387.6,403.0,90.0,1420.5
Glade,Allosaurus,M,757.3,250.0,150.0,3784.1,380.0,393.2,90.0,1240.5
Coal,Raptor,M,760.6,270.0,330.0,2640.0,170.8,477.9,120.0,990.5
Fredrick,Raptor,M,521.3,270.0,330.0,2640.0,170.8,388.3,120.0,763.7
Glinart,Raptor,M,321.3,225.0,225.0,2160.0,151.2,412.7,120.0,547.7
Toum,Raptor,M,321.3,240.0,150.0,1320.0,148.4,401.1,120.0,374.9
Craze,Raptor,M,201.3,165.0,180.0,1440.0,180.0,387.7,120.0,256.1
Zial,Rex,F,1541.3,462.0,150.0,3300.0,530.0,404.5,100.0,2666.5
Yeach,Rex,F,1761.3,588.0,210.0,4800.0,550.0,437.8,100.0,4433.5
Ramone,Sabertooth,M,401.3,240.0,210.0,1650.7,208.0,323.9,132.0,950.5
Korina,Doedicurus,F,1225.3,300.0,315.0,6210.0,275.0,617.7,160.0,2624.5
Damien,Sabertooth,M,501.3,260.0,210.0,2060.2,220.0,369.4,132.0,1430.5
Leslie,Sabertooth,F,251.3,220.0,210.0,1380.0,220.0,326.8,132.0,1430.5
Hannah,Allosaurus,F,757.3,275.0,165.0,4140.0,380.0,405.0,90.0,1600.5
Miley,Allosaurus,F,757.3,250.0,165.0,3450.0,387.6,396.7,90.0,1360.5
Deina,Raptor,F,321.3,195.0,330.0,2640.0,170.8,480.3,120.0,882.5
Donna,Raptor,F,281.3,270.0,330.0,1200.0,170.8,388.3,120.0,547.7
Trip,Megatherium,M,3109.3,600.0,405.0,6300.0,797.5,488.7,100.0,4480.5
Donny,Megatherium,M,889.3,480.0,270.0,3000.0,725.0,388.3,100.0,1240.5
Neal,Megatherium,M,889.3,480.0,324.0,3300.0,754.0,388.3,100.0,1660.5
Liam,Megatherium,M,2073.3,480.0,270.0,4800.0,725.0,388.3,100.0,2320.5
Faluu,Megatherium,M,889.3,480.0,324.0,3300.0,754.0,388.3,100.0,1660.5
Rick,Megatherium,M,889.3,760.0,405.0,6300.0,797.5,405.0,100.0,3220.5
Marty,Megatherium,M,1066.9,760.0,405.0,7560.0,957.0,441.8,120.0,3864.5
Sapphire,Megatherium,F,3109.3,600.0,405.0,6300.0,942.5,488.7,100.0,5080.5
Opal,Megatherium,F,3109.3,600.0,405.0,6300.0,942.5,488.7,100.0,5080.5
